codigo_noticia,Quantidade de Chunks (Fragmentos),titulo_noticia,Justificativa
290724AGR_A,28,MST comemora anúncio de vitória de Maduro e sofre críticas nos comentários,Documento Completo/Relatório Longo
121124AGR_A,28,Movimentos sociais se mobilizam para construção de proposta da Política de Agroecologia do Tocantins,Documento Completo/Relatório Longo
151124AGR_A,28,Governador de Alagoas é cobrado em protesto de posseiros em Messias,Documento Completo/Relatório Longo
291124AGR_C,28,Comunidade quilombola do município de Conde recebe 4o Encontro de Batuques da Paraíba,Documento Completo/Relatório Longo
030624AGR_A,27,Padre é preso durante ocupação sem terra de fazenda na Amazônia brasileira,Documento Completo/Relatório Longo
290124AGR_A,27,Crianças Sem Terra são impedidas de estudar no município de Hidrolândia,Documento Completo/Relatório Longo
120124AGR_C,27,Manifestantes do MST e CUT abrem cancelas de pedágio da Ecosul em Rio Grande,Documento Completo/Relatório Longo
241124AGR_E,27,‘Crime de Estado’: LCP denuncia Chacina de posseiros da Mutamba e responsabiliza governo federal,Documento Completo/Relatório Longo
211224AGR_A,27,"Movimento Luta pela Terra realiza protesto dentro de atacarejo MIX MATEUS, na Caxangá",Documento Completo/Relatório Longo
160924AGR_C,27,Mais de 60 famílias assentadas no PDS Osvaldo de Oliveira enfrentam nova tentativa de despejo,Documento Completo/Relatório Longo
221124AGR_A,27,Créditos da reforma agrária chegam pela primeira  vez a quilombolas cearenses,Documento Completo/Relatório Longo
221124AGR_D,27,Camponeses denunciam nova ofensiva do ‘Invasão Zero’,Documento Completo/Relatório Longo
300724AGR_G,27,“Pode haver derramento de sangue”: fazendeiros ameaçam assentados do Incra e tensão aumenta em Itanhangá (MT) – áudios e vídeos,Documento Completo/Relatório Longo
080624AGR_A,27,Contra crise ambiental: MST conclui lançamento aéreo de 12 toneladas de sementes de árvores ameaçadas de extinção no Paraná,Documento Completo/Relatório Longo
251124AGR_D,27,"Cinzas de Nalu Faria são levadas à Escola Florestan Fernandes do MST, em cerimônia de homenagem à feminista",Documento Completo/Relatório Longo
070724AGR_A,27,RN sedia 3o Encontro Nacional da Marcha Mundial das Mulheres,Documento Completo/Relatório Longo
080324AGR_C,27,Mulheres do MST realizam ato em frente a revendedora de armas da Taurus em São Paulo,Documento Completo/Relatório Longo
180324AGR_A,27,Vitória da luta: Escolas do Campo fechadas ilegalmente por Ratinho Jr. retomam atividades,Documento Completo/Relatório Longo
150224AGR_E,27,Quilombolas gaúchos recebem portarias de reconhecimento em mãos,Documento Completo/Relatório Longo
131124AGR_A,27,Reforma agrária popular e massificação da agroecologia são propostas centrais do MST ao G20,Documento Completo/Relatório Longo
170524AGR_E,27,"Por solidariedade ao RS, MST confirma adiamento do Congresso Nacional para 2025",Documento Completo/Relatório Longo
110324AGR_A,26,800 famílias organizadas pelo MST ocupam latifúndio em MG e área da Codevasf em BA em resposta à ‘lentidão na reforma agrária’,Documento Completo/Relatório Longo
161224AGR_A,26,Líder do MST chama gestão da reforma agrária do governo Lula de vergonhosa,Documento Completo/Relatório Longo
160224AGR_C,26,MST realiza 3o curso de Carnaval e desfila com a Leões da Mocidade,Documento Completo/Relatório Longo
300324AGR_A,26,Produção de cacau em áreas da Reforma Agrária gera sabores e regeneração  do bioma,Documento Completo/Relatório Longo
110324AGR_B,26,TCE pede auditoria da PM por cerco em acampamento do MST em Minas Gerais,Documento Completo/Relatório Longo
231224AGR_A,26,Fundador do MST volta a criticar inércia do governo na reforma agrária,Documento Completo/Relatório Longo
080524AGR_A,26,Feiras Ecológicas lançam campanha para ajudar assentamentos atingidos pelas enchentes,Documento Completo/Relatório Longo
280524AGR_C,26,"Além de defensora pública, padre e agentes da Comissão Pastoral também estão entre detidos por invasão de terra",Documento Completo/Relatório Longo
180324AGR_D,26,Feira agroecológica de troca de sementes e mudas fortalece agricultura familiar em Santarém,Documento Completo/Relatório Longo
310524AGR_A,26,LCP emite nota de falecimento ‘COMPANHEIRO JOSÉ GAUDINO! PRESENTE NA LUTA!’,Documento Completo/Relatório Longo
220824AGR_H,26,"Armazém do Campo do Recife recebe feira de agricultura camponesa, debates sobre soberania alimentar e música",Documento Completo/Relatório Longo
130424AGR_D,26,Encontro Estadual de Saúde e Agroecologia do MST SP discute 7o Congresso Nacional,Documento Completo/Relatório Longo
061124AGR_A,26,"O 14o Encontro das Crianças Sem Terrinha do Paraná reuniu cerca de 450 crianças do Movimento Sem Terra (MST), de todo o estado do Paraná. O evento aconteceu em Almirante Tamandaré, região metropolitana de Curitiba, nos dias 23 a 25 de outubro. Com o objetivo de proporcionar um espaço para que as crianças Sem Terrinha",Documento Completo/Relatório Longo
250724AGR_A,26,Jornada do MST cobra mais investimentos na Reforma Agrária para a produção de alimentos,Documento Completo/Relatório Longo
